EVENTNO,MONTH,DAY,YEAR,TIME,LATITUDE,LONGITUDE,HEADING,LEGTYPE,LEGSTAGE,WX,CLOUD,VISIBLTY,BEAUFORT,SIGHTNO,SPECCODE,IDREL,NUMBER,CONFIDNC,NUMCALF,ANHEAD,PHOTOS,BEHAV1,BEHAV2,BEHAV3,BEHAV4,BEHAV5,BEHAV6,BEHAV7,BEHAV8,BEHAV9,BEHAV10,BEHAV11,BEHAV12,BEHAV13,BEHAV14,BEHAV15,NOTES
1,7,16,2016,95918,43.505185,-66.59928,152,5,1,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,START WATCH FOR DAY
2,7,16,2016,100001,43.503855,-66.59821333,149,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
3,7,16,2016,100039,43.502645,-66.597265,149,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,"DDM-P, KRH-S, PKH-R"
4,7,16,2016,100101,43.50198833,-66.59675167,151,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
5,7,16,2016,100201,43.50012833,-66.59530833,151,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
6,7,16,2016,100251,43.498545,-66.59405167,151,5,2,H,2,4,2,1,FIWH,2,1,0,,,1,,,,,,,,,,,,,,,,
7,7,16,2016,100301,43.49822667,-66.59381,151,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
8,7,16,2016,100401,43.49633167,-66.59226333,150,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
9,7,16,2016,100501,43.49518,-66.59101833,145,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
10,7,16,2016,100601,43.49444167,-66.59105167,186,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
11,7,16,2016,100701,43.49516333,-66.59062167,1,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
12,7,16,2016,100801,43.49642,-66.591235,326,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
13,7,16,2016,100901,43.49771167,-66.59205833,342,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
14,7,16,2016,101001,43.49910333,-66.59228167,2,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
15,7,16,2016,101101,43.49994833,-66.59259167,231,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
16,7,16,2016,101201,43.49970333,-66.59182,137,5,2,H,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
