EVENTNO,MONTH,DAY,YEAR,TIME,LATITUDE,LONGITUDE,HEADING,LEGTYPE,LEGSTAGE,WX,CLOUD,VISIBLTY,BEAUFORT,SIGHTNO,SPECCODE,IDREL,NUMBER,CONFIDNC,NUMCALF,ANHEAD,PHOTOS,BEHAV1,BEHAV2,BEHAV3,BEHAV4,BEHAV5,BEHAV6,BEHAV7,BEHAV8,BEHAV9,BEHAV10,BEHAV11,BEHAV12,BEHAV13,BEHAV14,BEHAV15,NOTES
1,7,26,2016,174916,48.36715667,-64.47022333,138,5,1,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,"START WATCH FOR DAY: JCA-P,DMM-S, PAD-R "
2,7,26,2016,174918,48.36709833,-64.47014,138,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
3,7,26,2016,174945,48.36628,-64.46900833,137,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
4,7,26,2016,175045,48.36455667,-64.466555,137,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,7,26,2016,175145,48.36282833,-64.46407333,136,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
6,7,26,2016,175245,48.36110833,-64.46156667,136,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
7,7,26,2016,175345,48.35939333,-64.45907333,137,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
8,7,26,2016,175445,48.35767,-64.45657667,136,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
9,7,26,2016,175545,48.35595333,-64.45409,136,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
10,7,26,2016,175645,48.35424667,-64.45159,136,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
11,7,26,2016,175745,48.35252667,-64.44910167,136,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
12,7,26,2016,175845,48.3508,-64.44659333,137,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
13,7,26,2016,175945,48.34906,-64.44409833,136,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
14,7,26,2016,180045,48.34734333,-64.44162333,135,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
15,7,26,2016,180145,48.34563833,-64.43914667,138,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
16,7,26,2016,180245,48.34391833,-64.43666,137,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
17,7,26,2016,180330,48.34268333,-64.43486167,137,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
18,7,26,2016,180345,48.34222833,-64.43420167,135,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
19,7,26,2016,180445,48.340515,-64.43174,136,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
20,7,26,2016,180545,48.33881,-64.42930833,137,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
21,7,26,2016,180645,48.33714167,-64.426915,136,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
22,7,26,2016,180745,48.335425,-64.42450667,137,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
23,7,26,2016,180845,48.333725,-64.42210167,137,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
24,7,26,2016,180945,48.33199667,-64.41973333,137,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
25,7,26,2016,181045,48.330245,-64.41732833,138,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
26,7,26,2016,181146,48.32847333,-64.41494333,138,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
27,7,26,2016,181246,48.326705,-64.41255333,137,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
28,7,26,2016,181346,48.32492333,-64.41017333,139,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
29,7,26,2016,181446,48.323145,-64.40782333,139,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
30,7,26,2016,181546,48.321375,-64.40548333,139,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
31,7,26,2016,181646,48.3196,-64.40313,139,5,2,C,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,
32,7,26,2016,181705,48.31899833,-64.40235333,139,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
33,7,26,2016,181746,48.31781,-64.40079167,139,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
34,7,26,2016,181846,48.31603333,-64.398475,139,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
35,7,26,2016,181946,48.31424667,-64.39614,139,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
36,7,26,2016,182046,48.312435,-64.39379167,140,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
37,7,26,2016,182146,48.31064167,-64.3915,140,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
38,7,26,2016,182246,48.30885,-64.38917833,140,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
39,7,26,2016,182346,48.30706167,-64.38690167,141,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
40,7,26,2016,182446,48.30529667,-64.38462,140,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
41,7,26,2016,182509,48.30460833,-64.383745,140,5,2,C,2,5,3,1,TUNS,2,1,0,,,1,,,,,,,,,,,,,,,,
42,7,26,2016,182546,48.303505,-64.38235,140,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
43,7,26,2016,182646,48.30171833,-64.38010833,140,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
44,7,26,2016,182746,48.299935,-64.37783667,140,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
45,7,26,2016,182846,48.29814833,-64.37552167,139,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
46,7,26,2016,182855,48.29787833,-64.37516833,139,5,2,C,2,5,3,2,TUNS,2,1,0,,,1,,,,,,,,,,,,,,,,
47,7,26,2016,182946,48.296415,-64.37305667,136,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
48,7,26,2016,183046,48.29471333,-64.37057333,137,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
49,7,26,2016,183146,48.29303,-64.36808667,136,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
50,7,26,2016,183246,48.29135167,-64.36558833,135,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
51,7,26,2016,183346,48.28968333,-64.36310167,136,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
52,7,26,2016,183446,48.28799667,-64.36061333,136,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
53,7,26,2016,183546,48.28631833,-64.35807833,134,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
54,7,26,2016,183646,48.28464667,-64.355545,135,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
55,7,26,2016,183746,48.28298333,-64.35298667,135,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
56,7,26,2016,183846,48.28132167,-64.350475,135,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
57,7,26,2016,183946,48.27966833,-64.34791167,135,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
58,7,26,2016,184046,48.27801333,-64.34536333,134,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
59,7,26,2016,184146,48.27636667,-64.34283333,135,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
60,7,26,2016,184246,48.27471333,-64.34032833,135,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
61,7,26,2016,184346,48.27308167,-64.33783667,135,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
62,7,26,2016,184413,48.27234167,-64.33670167,135,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,"W/C PKH-P, KRH-S, JCA-R"
63,7,26,2016,184446,48.27143667,-64.33530333,134,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
64,7,26,2016,184546,48.26980833,-64.33275667,134,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
65,7,26,2016,184646,48.26820833,-64.33017167,130,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
66,7,26,2016,184746,48.26668833,-64.32748333,130,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
67,7,26,2016,184846,48.26518333,-64.32476333,131,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
68,7,26,2016,184946,48.26367333,-64.32204333,130,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
69,7,26,2016,185046,48.26216833,-64.31932167,130,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
70,7,26,2016,185146,48.26065833,-64.31658167,129,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
71,7,26,2016,185246,48.25915167,-64.31385333,130,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
72,7,26,2016,185346,48.25764833,-64.311115,129,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
73,7,26,2016,185446,48.25615833,-64.30835833,128,5,2,C,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,
74,7,26,2016,185456,48.25591333,-64.3079,128,5,2,C,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
75,7,26,2016,185546,48.25465833,-64.30562,130,5,2,C,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
76,7,26,2016,185646,48.25315,-64.30287,129,5,2,C,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
77,7,26,2016,185746,48.25166167,-64.30016667,130,5,2,C,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
78,7,26,2016,185846,48.250155,-64.29748333,131,5,2,C,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
