EVENTNO,MONTH,DAY,YEAR,TIME,LATITUDE,LONGITUDE,HEADING,LEGTYPE,LEGSTAGE,WX,CLOUD,VISIBLTY,BEAUFORT,SIGHTNO,SPECCODE,IDREL,NUMBER,CONFIDNC,NUMCALF,ANHEAD,PHOTOS,BEHAV1,BEHAV2,BEHAV3,BEHAV4,BEHAV5,BEHAV6,BEHAV7,BEHAV8,BEHAV9,BEHAV10,BEHAV11,BEHAV12,BEHAV13,BEHAV14,BEHAV15,NOTES
1,8,26,2016,94031,48.31042333,-64.27071333,114,5,1,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,"BEGIN WATCH: HBM-P, JF-S, ARK-R -   "
2,8,26,2016,94055,48.31002167,-64.26940333,115,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
3,8,26,2016,94144,48.30924667,-64.26670333,115,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
4,8,26,2016,94155,48.30905833,-64.266095,114,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
5,8,26,2016,94255,48.30808667,-64.26281333,113,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
6,8,26,2016,94355,48.307125,-64.25949,115,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
7,8,26,2016,94455,48.30612667,-64.25617667,114,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
8,8,26,2016,94555,48.30518667,-64.252895,114,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
9,8,26,2016,94655,48.304185,-64.249635,116,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
10,8,26,2016,94755,48.30316167,-64.246385,118,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
11,8,26,2016,94855,48.302115,-64.24312833,115,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
12,8,26,2016,94955,48.30108833,-64.23986333,117,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
13,8,26,2016,95055,48.30004167,-64.23667333,117,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
14,8,26,2016,95155,48.29902333,-64.23346333,115,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
15,8,26,2016,95255,48.297955,-64.23028,115,5,2,F,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
16,8,26,2016,95305,48.29779,-64.22981,115,5,2,F,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS, SOME PATCHES <1 MILE ON PORT SIDE  "
17,8,26,2016,95356,48.29687667,-64.22723167,117,5,2,F,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS, SOME PATCHES <1 MILE ON PORT SIDE  "
18,8,26,2016,95456,48.29585,-64.22412333,115,5,2,F,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS, SOME PATCHES <1 MILE ON PORT SIDE  "
19,8,26,2016,95556,48.29491667,-64.22102833,114,5,2,F,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS, SOME PATCHES <1 MILE ON PORT SIDE  "
