EVENTNO,MONTH,DAY,YEAR,TIME,LATITUDE,LONGITUDE,HEADING,LEGTYPE,LEGSTAGE,WX,CLOUD,VISIBLTY,BEAUFORT,SIGHTNO,SPECCODE,IDREL,NUMBER,CONFIDNC,NUMCALF,ANHEAD,PHOTOS,BEHAV1,BEHAV2,BEHAV3,BEHAV4,BEHAV5,BEHAV6,BEHAV7,BEHAV8,BEHAV9,BEHAV10,BEHAV11,BEHAV12,BEHAV13,BEHAV14,BEHAV15,NOTES
1,7,27,2016,93104,48.14389333,-63.929105,18,5,1,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,"START WATCH FOR DAY: KRH-P, DMM-S, PKH-R "
2,7,27,2016,93132,48.144835,-63.92862167,19,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
3,7,27,2016,93232,48.14678833,-63.92764667,18,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
4,7,27,2016,93332,48.14665167,-63.92536333,112,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
5,7,27,2016,93432,48.14593,-63.92239333,109,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
6,7,27,2016,93527,48.14518833,-63.91975,109,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
7,7,27,2016,93532,48.14510833,-63.91946167,113,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
8,7,27,2016,93633,48.14395333,-63.91682667,137,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
9,7,27,2016,93733,48.14231167,-63.91474833,139,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
10,7,27,2016,93833,48.14126833,-63.91243833,111,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
11,7,27,2016,93933,48.14161167,-63.91066833,28,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
12,7,27,2016,94033,48.14246833,-63.91083333,344,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
13,7,27,2016,94133,48.14341,-63.91162167,321,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
14,7,27,2016,94211,48.14409167,-63.91157167,321,5,2,C,4,5,3,1,RIWH,3,1,0,,1,2,20,34,,,,,,,,,,,,,,EG A
15,7,27,2016,94233,48.14453833,-63.91118667,33,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
16,7,27,2016,94333,48.14556167,-63.91009667,40,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
17,7,27,2016,94433,48.14635167,-63.910155,336,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
18,7,27,2016,94533,48.14721167,-63.910035,9,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
19,7,27,2016,94633,48.14810667,-63.91006667,351,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
20,7,27,2016,94733,48.14835,-63.90952833,160,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
21,7,27,2016,94833,48.14761667,-63.91020333,224,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
22,7,27,2016,94933,48.147225,-63.91096667,233,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
23,7,27,2016,95033,48.146875,-63.91183167,251,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
24,7,27,2016,95133,48.14632167,-63.912265,117,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
25,7,27,2016,95233,48.14700167,-63.91196,14,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
26,7,27,2016,95333,48.14917167,-63.91154,3,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
27,7,27,2016,95433,48.151525,-63.91146333,347,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
28,7,27,2016,95533,48.15388,-63.91219167,350,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
29,7,27,2016,95633,48.15623,-63.91213833,5,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
30,7,27,2016,95733,48.15828167,-63.913435,15,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
31,7,27,2016,95833,48.15832,-63.91115667,112,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
32,7,27,2016,95933,48.15894,-63.908995,37,5,2,C,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
