Station,Channel,Date,Mode,Time Deployed (ET),Deploy Success?,Reason failed,Lat (Deg Min),Long (Deg Min),Calibration,Sonobuoy Lot,Comments,
20,59,26-Jul-17,df,17:10:11,yes,sono,47.16162,-64.33607,,SN05UND01728481,loosing reception,
20,59,26-Jul-17,df,17:12:10,yes,sono,47.1098,-64.36188,,SN05UND01728481,stop recording,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
