Time,TrkLatitude,TrkLongitude,TrkAltitude,HeadingPlatMagnetic,HeadingPlatTrue,PlatformSpeed,TrkDist,LAT - ENVIRONMENTALS,LONG - ENVIRONMENTALS,MONTH - ENVIRONMENTALS,DAY - ENVIRONMENTALS,YEAR - ENVIRONMENTALS,LEGTYPE - ENVIRONMENTALS,LEGSTAGE - ENVIRONMENTALS,WX - ENVIRONMENTALS,CLOUD - ENVIRONMENTALS,VISIBLTY - ENVIRONMENTALS,BEAUFORT - ENVIRONMENTALS,ENVIRO NOTES - ENVIRONMENTALS,LAT - SIGHTINGS,LONG - SIGHTINGS,SIGHTNO - SIGHTINGS,SPECCODE - SIGHTINGS,IDREL - SIGHTINGS,NUMBER - SIGHTINGS,OBS - SIGHTINGS,CONFIDNC - SIGHTINGS,NUMCALF - SIGHTINGS,ANHEAD - SIGHTINGS,PHOTOS - SIGHTINGS,BEHAV1 - SIGHTINGS,BEHAV2 - SIGHTINGS,BEHAV3 - SIGHTINGS,BEHAV4 - SIGHTINGS,BEHAV5 - SIGHTINGS,BEHAV6 - SIGHTINGS,BEHAV7 - SIGHTINGS,BEHAV8 - SIGHTINGS,BEHAV9 - SIGHTINGS,BEHAV10 - SIGHTINGS,BEHAV11 - SIGHTINGS,BEHAV12 - SIGHTINGS,BEHAV13 - SIGHTINGS,BEHAV14 - SIGHTINGS,BEHAV15 - SIGHTINGS,NOTES - SIGHTINGS
2017-07-02 18:52:19.1 ADT,46.79545,-64.058335,35.4 m,183.9,164.9,0 kts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-02 18:53:19.1 ADT,46.795445,-64.05833,5 m,231.5,212.5,0 kts,0.000363813 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-02 18:54:19.1 ADT,46.795445,-64.0583166666667,5 m,225.8,206.8,0 kts,0.0005480533 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-02 18:55:19.2 ADT,46.795445,-64.0583216666667,7 m,220.2,201.2,0.1 kts,0.00020552 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-02 18:56:27.0 ADT,46.7954433333333,-64.0583266666667,5 m,222.9,203.9,0.1 kts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:20:52.6 ADT,46.8578766666667,-63.9483166666667,4 m,226.9,207.9,0.1 kts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:20:53.3 ADT,46.8578766666667,-63.9483166666667,7 m,57,38,9.5 kts,0 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:20:53.3 ADT,46.8578766666667,-63.9483166666667,7 m,57,38,9.5 kts,0 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:22:03.8 ADT,46.8602716666667,-63.9455033333333,7 m,58.7,39.7,9.5 kts,0.1844406759 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 10:22:15.3 UTC,46.8602716666667,-63.9455033333333,7 m,58.7,39.7,9.5 kts,0.1844406759 nm,46.860675,-63.9450066666667,7,3,2017,5,1,C,1,5,2,"START WATCH FOR DAY: PKH-P, PE-S, KRH-R",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 10:22:35.4 UTC,46.8602716666667,-63.9455033333333,7 m,58.7,39.7,9.5 kts,0.1844406759 nm,46.861355,-63.9441866666667,7,3,2017,5,2,C,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:23:03.8 ADT,46.8623066666667,-63.9430666666667,8 m,57.1,38.1,9.4 kts,0.1579093078 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:24:01.4 ADT,46.8642833333333,-63.94076,7 m,56.3,37.3,9.4 kts,0.1518282461 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:25:01.4 ADT,46.8662933333333,-63.9383333333333,7 m,57.9,38.9,9.3 kts,0.1564843858 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:26:01.5 ADT,46.8683066666667,-63.9359283333333,7 m,59.7,40.7,9.4 kts,0.1560723084 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:27:01.5 ADT,46.8703233333333,-63.9335383333333,7 m,59.5,40.5,9.3 kts,0.1558366853 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:28:01.5 ADT,46.87231,-63.9311466666667,7 m,57.9,38.9,9.3 kts,0.1544824848 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:29:01.5 ADT,46.8743183333333,-63.92878,7 m,58.1,39.1,9.3 kts,0.1548410411 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:30:01.6 ADT,46.8763083333333,-63.926385,8 m,60.9,41.9,9.3 kts,0.1547193094 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:31:01.6 ADT,46.878315,-63.9240233333333,8 m,59,40,9.3 kts,0.1546298736 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 10:31:55.5 UTC,46.878315,-63.9240233333333,8 m,59,40,9.3 kts,0.1546298736 nm,46.8801,-63.9218833333333,7,3,2017,5,2,C,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:32:01.6 ADT,46.8803033333333,-63.9216533333333,8 m,57,38,9.3 kts,0.1539872868 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-03 07:33:01.8 ADT,46.8823316666667,-63.9192666666667,9 m,58.2,39.2,9.2 kts,0.1562820271 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
